ИД;Количество комнат;Тип;Адрес;Площадь, м2;Жилая площадь, м2;Площадь кухни, м2;Планировка;Этаж;Дом;Год постройки;Год сдачи;Аварийность;Подъезды;Отопление;Газ;Перекрытия;Отделка;Парковка;Цена;Рыночная цена;Телефоны;Описание;Ремонт;Площадь комнат, м2;Балкон;Окна;Санузел;Есть телефон;Название ЖК;Серия дома;Высота потолков, м;Лифт;Мусоропровод;Ссылка на объявление
226284424;;Новостройка;Севастополь, р-н Гагаринский, ул. Военных Строителей, 12/1На карте;31,56 м;;;;2 из 3;;;2 кв. 2021;;;;;;;;2 935 080 ; ;+7 869 288-86-57;"Продается 1-комнатная квартира, в строящемся доме (Дом 8 ""Фрегат""), срок сдачи: II-кв. 2021, общей площадью 31.56 кв.м., на 2 этаже.";;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/226284424/
239743602;;Новостройка;Севастополь, р-н Балаклавский, Севастопольская зона ЮБК кварталНа карте;59,3 м;17,9 м;22,3 м;;4 из 9;;;2 кв. 2017;;;;;;;;9 879 644 ; ;+7 365 277-74-63;Продается 2-комнатная квартира, в сданном доме (Корпус 2), общей площадью 59.30 кв.м., на 4 этаже.;;;1 балкон;;1 совмещенный;;;;;;;https://sevastopol.cian.ru/sale/flat/239743602/
249297901;;Вторичка;Севастополь, р-н Гагаринский, мкр. Стрелецкая, просп. Юрия Гагарина, 52/2На карте;48 м;22,6 м;12 м;;1 из 9;;;;;;;;;;Наземная;7 500 000 ; ;+7 978 736-21-42;"Продам Шикарную 1 комнатную квартиру общ 48/22,6/12, АГВ, середина дома, встроенная мебель, техника входит в стоимость, высокий первый этаж/9эт.дома. Район с развитой инфраструктурой: Остановка, пляж, парк, школа, детсад, тц, рынок пл.50 летия СССР, музей-заповедник ""Херсонес Таврический""_в шаговой доступности";Евроремонт;;1 лоджия;Во двор;1 совмещенный;;;;;;Есть;https://sevastopol.cian.ru/sale/flat/249297901/
248468669;;Новостройка Апартаменты;Севастополь, р-н Гагаринский, ул. Военных Строителей, 12/1На карте;71,1 м;27,9 м;16,4 м;;1 из 3;;;4 кв. 2020;;;;;;;;4 621 500 ; ;+7 869 288-86-57;Продаются 1-комнатные апартаменты, в строящемся доме, срок сдачи: IV-кв. 2020, общей площадью 71.10 кв.м., на 1 этаже.;;;;;1 раздельный;;;;;;;https://sevastopol.cian.ru/sale/flat/248468669/
232090761;;Новостройка;Севастополь, р-н Гагаринский, ул. Военных Строителей, 12/1На карте;36,3 м;;;;1 из 3;;;2 кв. 2021;;;;;;;;3 375 900 ; ;+7 869 288-86-57;"Продается 2-комнатная квартира, в строящемся доме (Дом 8 ""Фрегат""), срок сдачи: II-кв. 2021, общей площадью 36.30 кв.м., на 1 этаже.";;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/232090761/
246520872;;Вторичка;Севастополь, р-н Гагаринский, ул. Вакуленчука, 53/11На карте;62 м;28 м;12 м;Изолированная;2 из 5;;2013;;Нет;7;Котел/Квартирное отопление;Центральное;Железобетонные;;;5 980 000 ;7 330 000 ;+7 978 736-21-42;Продам Шикарную 2х.комнатную квартиру ул. Вакуленчука, общ. 62/28/12, АГВ, кондиционер, 2/5эт.дома, комнаты изолированные, середина дома, Лоджия 10м2, встроенная мебель, техника входит в стоимость. Остановка, магазины_ в шаговой доступности. Пляж, тц, рынок, поликлиника, парк_5минут на транспорте;Дизайнерский;;1 лоджия;На улицу;1 совмещенный;;;;;;;https://sevastopol.cian.ru/sale/flat/246520872/
221465104;;Новостройка;Севастополь, р-н Гагаринский, ул. Парковая, 12На карте;44,1 м;17,6 м;8,9 м;;1 из 16;;;4 кв. 2016;;;;;;;;6 000 000 ; ;+7 869 277-72-39;"Продается 1-комнатная квартира, в сданном доме, общей площадью 44.10 кв.м., на 1 этаже. В непосредственной близости от комплекса расположен Парк Победы - живописный зеленый массив, с фонтанами и цветниками, где Вы можете спокойно отдохнуть под тенью раскидистых кленов и встретить среди крон деревьев почти ручных белок.

Каждая квартира будет оснащена:
- турбированным двухконтурным газовым котлом;
- разводкой отопления  радиаторами;
- разводкой электропроводки;
- водомером, газовым и электрическим счетчиками;
- цементно-песчаной стяжкой полов;
- финишной шпатлевкой;
- металлопластиковыми окнами;
- металлической входной дверью.

Для размещения личного транспорта в комплексе запроектирован подземный паркинг.";;;1 лоджия;;1 совмещенный;;;;;;;https://sevastopol.cian.ru/sale/flat/221465104/
232855106;;Новостройка;Севастополь, р-н Гагаринский, мкр. Камышовая бухта, ул. Павла КорчагинаНа карте;68,56 м;;;;1 из 8;;;4 кв. 2021;;;;;;;;8 158 640 ; ;+7 869 277-72-11;"Продается 2-комнатная квартира, в строящемся доме (корпус 8), срок сдачи: IV-кв. 2021, общей площадью 68.56 кв.м., на 1 этаже. Легенда"" - это современный жилой комплекс, расположенный на берегу бухты Омега в Гагаринском районе Севастополя. 200 метров до моря, район с развитой инфраструктурой. В составе комплекса: 8 жилых корпусов класса Comfort+, парковое благоустройство территории вокруг комплекса и авторский ландшафтный дизайн внутреннего пространства. Чтобы освободить двор от машин, прямо под ним организован двухуровневый подземный паркинг на 250 автомобилей.";;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/232855106/
249204875;;Вторичка;Севастополь, р-н Гагаринский, мкр. Летчики, ул. Колобова, 22/3На карте;65 м;38 м;15 м;;1 из 9;;2011;;Нет;2;Котел/Квартирное отопление;Центральное;Железобетонные;;;5 950 000 ;6 300 000 ;+7 978 983-84-48;Уникальное предложение!!!На продажу выставлена 2-х комнатная квартира в развитом районе города  Гагаринском!Отличное расположение дома. Удобная транспортная развязка. Рядом остановка. В шаговой доступности школы: 37 и 58, а также детские сады 111 и 125. Около дома Вы найдете магазины (на любой вкус и кошелек). С торцадома большая парковка для Вашего авто.А теперь немного о доме и квартире:Дом панельный 2011 г.постройки.Квартира расположена на высоком цокольном этаже. Вход с подъезда.Общая S 65 кв.м. 2 больших комнаты: 19.5 кв.м и 18.3 кв.м.Кто из нас хоть раз не мечтал о просторной кухне? В этой квартире мечты о большой кухне сбываются! 14,5 кв.м дадут Вам разгуляться!Ванная комната 2,7 кв.м, санузел 1,2 кв.м. Просторный холл 5,8 кв.м.У Вас много вещей? Проблема будет решена с помощью просторной гардеробной  целых 3 кв.м!На полу плитка по всей квартире. К квартире прилагаются приятные бонусы!!!Вы точно будете счастливы на новом месте!Один собственник. Документы РФ. Готовы к сделке.С удовольствием отвечу на все Ваши вопросы, ведь я знаю в квартире каждый уголок! Лот 30023;;;;;;;;;2,7 м;2 всего;;https://sevastopol.cian.ru/sale/flat/249204875/
245034729;;Новостройка;Севастополь, р-н Гагаринский, ул. Летчиков, 6На карте;56,1 м;;;;2 из 4;;;1 кв. 2019;;;;;;;;8 303 328 ; ;+7 869 277-74-96;Продается 2-комнатная квартира, в сданном доме, общей площадью 56.10 кв.м., на 2 этаже.;;;;;;;;;;;;https://sevastopol.cian.ru/sale/flat/245034729/
