название;ссылка;цена;адрес;описание
Квартира в новом ЖК, вид на море!;https://krym.cian.ru/sale/flat/250063719/;5 500 000 ;Республика КрымЯлтаулица Кривошты;"Продам квартиру в новом жилом доме ""Континент"" в Ялте, ул.Кривошты, ровное место, отличный район для жизни, все необходимое для комфортного проживания в пешей доступности. 

Закрытая охраняемая территория, наземный паркинг во дворе дома. 
Комплекс комфорт класса. Управляющая компания. 

Индивидуальный тепловой пункт и поквартирная разводка отопления.

В здании 2 эвакуационных выхода и 2 не задымляемые лестницы. Камеры наблюдения на каждом этаже.

Квартира расположена на 11-м этаже. Общая площадь квартиры 38м2.
Под чистовую отделку. На полу стяжка, стены выровнены.

Панорамный вид на море, город и горы.

Дом сдан в эксплуатацию и заселён.

Стоимость: 5 500 000 руб."
Квартира возле Набережной;https://krym.cian.ru/sale/flat/244337515/;5 300 000 ;Республика КрымЯлтаулица Рузвельта;"Продается квартира общей площадью 31 кв.м. в самом центре Ялты, возле Набережной, в старинном доме по ул. Рузвельта. 
 Квартира под ремонт, но жилая. Идеальное место под сдачу!!!
 Квартира состоит из комнаты 20 кв.м., окна которой выходят на центральную улицу, напротив Клуба Моряков. 
 Через общий с соседями небольшой коридор, можно попасть в другое помещение с индивидуальным санузлом и помещением под кухню и маленькую комнату. 
 Фактически из одной квартиры можно сделать две небольшие студии. 
 Потолки 3 метра,стены толщиной - 1 метр."
1-комн. кв., 34,7 м, 6/11 этаж;https://krym.cian.ru/sale/flat/232293626/;5 733 750 ;Республика КрымЯлтаулица Руданского21А;"Предлагаем к продаже квартиру в новом, построенном жилом комплексе в центре Ялты. Дом сдан, зарегистрировано право собственности.
Квартира площадью 34,75 м.кв. расположена 7-м этаже 11-ти эт. дома.
Квартира под отделку с установленными межкомнатными стенами, полным остеклением, входными дверьми  и радиаторами.
Дом отапливается от крышной газовой котельной.
В доме работает 2 лифта.
Из окон квартиры открывается вид на горы и Ялту.
Цена 5 733 750 руб. Возможна ипотека.
Дом имеет удачное месторасположение с развитой инфраструктурой, рядом расположены: школа, детсад, центральный продуктовый рынок, аптеки, магазины, остановка общественного транспорта.
До центральной набережной и моря пешком 10 минут."
2-х комнатная центр ул Московская;https://krym.cian.ru/sale/flat/238102979/;5 858 167 ;Республика КрымЯлтаулица Московская;"Продаётся двухкомнатная квартира, расположенная в центральной части Ялты, на ул Московская.

Квартира в середине дома, планировка удобная (""распашонка"").

5/5д. Крыша не течет, перекрыта.

Общая площадь 40 кв.м. + открытый балкон с видом во двор и на горы.

Кухня 6 кв.м., комнаты 16,1 и 10,1 кв.м.

Квартира в отличном состоянии, везде установлены стеклопакеты.

Продажа с мебелью и техникой.

На горячую воду установлена газовая колонка, отопление городское.

На воду, газ и свет - установлены счетчики.

Вокруг дома свободная парковка для авто.

Рядом расположены: остановки, магазины, аптеки, рынок, кафе и рестораны.

Перепланировок нет. Никто не проживает."
Студия, 36 м, 4/4 этаж;https://krym.cian.ru/sale/flat/250044385/;3 600 000 ;Республика КрымЯлтаулица Аверкина3Г;родаётся квартира студия общей площадью 36м.кв., и балкон площадью 4,5 м.кв, студия. Квартира находимся в новом малоквартирном жилом доме по ул Аверкина (общее количество квартир 10 штук). Из окон открывается хороший вид на море и горы. В квартиру заведено электричество, подключена вода, есть возможность подключить газ. Территория дома ограждена забором  есть парковка на придомовой территории и место для обустройства  зоны отдыха. За дополнительной информации обращаться по телефону
1-комн. кв., 47,23 м, 6/13 этаж;https://krym.cian.ru/sale/flat/234545058/;4 900 000 ;Республика КрымЯлтаулица Красноармейская36Б;Продается 1-комнатная квартира, в строящемся доме, срок сдачи: II-кв. 2022, общей площадью 47.23 кв.м., на 6 этаже.
1-комн. кв., 43,62 м, 12/13 этаж;https://krym.cian.ru/sale/flat/240857060/;5 100 000 ;Республика КрымЯлтаулица Красноармейская36Б;Продается 1-комнатная квартира, в строящемся доме, срок сдачи: II-кв. 2022, общей площадью 43.62 кв.м., на 12 этаже.
3-комн. кв., 71,9 м, 9/18 этаж;https://krym.cian.ru/sale/flat/232572927/;5 752 000 ;Республика КрымЯлтаулица Блюхера19;Продается 3-комнатная квартира, в сданном доме, общей площадью 71.90 кв.м., на 9 этаже.
Студия, 34,75 м, 8/11 этаж;https://krym.cian.ru/sale/flat/240702316/;5 907 500 ;Республика КрымЯлтаулица Руданского21А;"Продаётся квартира-студия в центре Ялты в ""ЖК Чайка"". Дом сдан в эксплуатацию. Проведены все коммуникации. В доме имеется два лифта (грузовой и пассажирский), просторный холл и консьерж. Автономная крышная котельная.

""ЖК Чайка"" расположен в уютном тихом районе, в 7 минутах ходьбы от набережной и Массандровского пляжа и в 5 минутах ходьбы расположен овощной и вещевой рынки. Хорошая инфраструктура района, рядом есть садики и школы. Так же по соседству расположен единственный в городе медицинский центр ""Времена года"" с высококвалифицированными врачами.

Возможна ИПОТЕКА."
2х комнатная у пляжа;https://krym.cian.ru/sale/flat/226098792/;5 500 000 ;Республика КрымЯлтаулица Дражинского;"Продается 2 ккв ОП- 40 кв.м. 1эт/2эт. дома,  расположена по ул.Дражинского.

Квартира имеет две раздельные жилые комнаты, светлую веранду с окнами во двор и оборудована АОГВ (двухконтурный котел).

Квартира находится в 100 метрах от Массандровского пляжа.

Также к квартире относится помещение 12 кв.м.

Квартира хорошо сдается круглый год и идеально подходит для летнего отдыха и бизнеса."
