название;ссылка;цена;адрес;описание
3-комн. апарт., 172,2 м, 4/10 этаж;https://krym.cian.ru/sale/flat/239743200/;62 740 119 ;Республика КрымЯлтапроезд Парковый8Д;Продаются 3-комнатные апартаменты, в сданном доме (Корпус 1), общей площадью 172.20 кв.м., на 4 этаже.
Пентхаус Ялта центр. Два этажа!;https://krym.cian.ru/sale/flat/47391514/;82 500 000 ;Республика КрымЯлтаулица Игнатенко5;"Продам шикарные апартаменты в центре Ялты, которые представляют собой двухуровневый пентхаус на 9-м и 10-м этажах с шикарным видом на море, горы, Ялту, с летним баром, кухней и домашним кинотеатром на террасе. Красивая лестница, оригинальное решение - запасной выход с секретом. Удаленность от моря 50 м. В нем три спальни, три сан узла, душ на террасе, гостиная с балконом с видом на море, набережную, две полноценные кухни (одна на террасе). Большая терраса 100 м2 с шезлонгами. В следующем году планируется джакузи переливная - ""зеркало воды"" в уровень с полом террасы, автономная (зима/лето) на 8 персон (джакузи еще не инсталлирована). Авторский ремонт, изысканная, и в то же время удобная мебель, современная техника, кондиционеры, большие телевизоры с приставкой apple TV, видеонаблюдение, сигнализация, ip-домофон, вся техника управляется с айфона, есть видео инструкции - эта квартира создана для комфортной и счастливой жизни!"
5-комн. кв., 458,1 м, 8/8 этаж;https://krym.cian.ru/sale/flat/237683163/;166 227 484 ;Республика КрымЯлта городской округОреанда пгт60Гк6;Продается 5-комнатная квартира, в сданном доме, общей площадью 458.10 кв.м., на 8 этаже.
5-комн. кв., 388,8 м, 8/8 этаж;https://krym.cian.ru/sale/flat/242093467/;137 757 784 ;Республика КрымЯлта городской округОреанда пгт60Гк6;Продается 5-комнатная квартира, в сданном доме, общей площадью 388.80 кв.м., на 8 этаже.
Квартира-дом с бассейном;https://krym.cian.ru/sale/flat/210198880/;82 500 000 ;Республика КрымЯлтаулица Щорса38;"Идеально подойдет для людей, желающих ДОМ или ВИЛЛУ в Ялте , которая всегда будет в безопасности и под присмотром!!

ДВОЙНОЙ ПЕРИМЕТР!!!

БЕСКОМПРОМИССНЫЙ ВИД НА ЯЛТУ С ЛЮБОЙ ТОЧКИ КВАРТИРЫ!

Действующий бассейн прямо в этаже!

 И все это внутри огромного жилого комплекса!!

Высота потолков 4,5 м !!



Благоустройство и озеленение придомовой территории. 2 закрепленных паркоместа.

Панорамное остекление 4м. ( Раздвижные системы профиля Schuco ). Вентилируемый фасад из композита. Система климат-контроля. Фанкойлы."
3-комн. апарт., 172,2 м, 4/10 этаж;https://krym.cian.ru/sale/flat/237436880/;61 992 000 ;Республика КрымЯлтапроезд Парковый8Д;Продаются 3-комнатные апартаменты, в сданном доме (Корпус 1), общей площадью 172.20 кв.м., на 4 этаже.
4-комн. кв., 208,5 м, 6/15 этаж;https://krym.cian.ru/sale/flat/172778321/;64 668 084 ;Республика КрымЯлтапроезд Парковый6А;"Продаётся шикарная просторная квартира общей площадью 208,5 кв.м., с восхитительным видом на море, расположенная на 6 этаже 15-ти этажного нового дома в Приморском парке Ялты.  В квартире 2 спальни, кабинет, гостиная, кухня-столовая, гардеробная, 2 санузла и 2 просторные открытые террасы с панорамным видом на море и  горы. 
 
Теплые полы, инверторная система кондиционирования, встроенная бытовая техника, итальянская мебель,  скоростной интернет 100 Мб/с.  Эта квартира просто создана для комфортного проживания.

Дом находится в элитном охраняемом комплексе  г. Ялты  ЖК "" Омега "" , в окружении вечнозелёных деревьев и кустарников.
В инфраструктуру комплекса входит кафе, детская площадка с бассейном, крытый и открытый паркинги. 
До пляжа всего 100 метров, до набережной - 10 минут пешком через парк.
Также Вы можете воспользоваться обширной инфраструктурой Приморского парка - ресторанами с различными кухнями народов мира, SPA- салоном гостиницы Лето, фитнес- залом, теннисными кортами, финской сауной и турецким хаммамом, скоро будет построен дайвинг-центр.    Количество комнат 4 Этаж 6 Этажность 1 5 Общая площадь 20 8 ,5 м? Жилая площадь 100 м? Площадь кухни 25 м?"
3-комн. кв., 131,6 м, 2/8 этаж;https://krym.cian.ru/sale/flat/242093480/;61 018 235 ;Республика КрымЯлта городской округОреанда пгт60Гк7;Продается 3-комнатная квартира, в сданном доме, общей площадью 131.60 кв.м., на 2 этаже.
4-комн. кв., 389,3 м, 8/8 этаж;https://krym.cian.ru/sale/flat/237683154/;125 675 942 ;Республика КрымЯлта городской округОреанда пгт60Гк6;Продается 4-комнатная квартира, в сданном доме, общей площадью 389.30 кв.м., на 8 этаже.
Роскошная 4 ккв. с видом на море;https://krym.cian.ru/sale/flat/246717648/;113 857 650 ;Республика КрымЯлта городской округКореиз пгтшоссе Севастопольское45;"4-комнатная квартира с видом на море в Ялте, пгт Кореиз. Продается квартира для постоянного проживания или комфортного отдыха семьи в элитном жилом комплексе Respect Hall.  Общая площадь 209.8 кв.м. (+ широкая терраса и большой южный балкон общей площадью 98 кв.м.). Планировка включает в себя просторную гостиную, кухню, 2 комнаты спальни и 1 мастер-спальню. Светлая кухня оборудована всей необходимой техникой, рядом находится подcобное техническое помещение, приспособленное для обслуживания квартиры. В квартире 2 удобно оборудованных санузла: 1 напротив спальных комнат и 1 в хозяйской спальне.  Терраса, предназначенная для отдыха, полностью застеклена, через панорамные окна открывается замечательный вид на горы и море. Из всех комнат и спален можно выйти на большой южный балкон с видом на море и прекрасную территорию с бассейном и храмом, с вековыми южными деревьями замечательного комплекса Respect Hall. Элементы интерьера создают удивительную атмосферу уюта и комфорта.
В квартире тёплый пол, высококачественная и надежная техника, эксклюзивные итальянские светильники, качественный текстиль.
Для собственников квартир в комплексе Респект Холл работает канатная дорога с доставкой на оборудованный пляж комплекса. На нижних этажах здания оборудован СПА-комплекс с несколькими банями, бассейнами, тренажёрным залом. В квартире велосипеды для прогулок новым собственникам квартиры.
В стоимость квартиры входит парко-место в подземном паркинге.
Квартира расположена на 4-ом этаже 19-этажного здания, с индивидуальным выходом из лифта и закрытым личным коридором."
