название;ссылка;цена;адрес;описание
Своя игровая комната + двор;https://krym.cian.ru/sale/flat/204023110/;39 500 000 ;Республика КрымЯлтаулица Щорса32;Продам свою квартиру, настоящий дом в два этажа, с придомовым участком 2 сотки, ландшафтным дизайном, двумя паркоместами и отдельно стоящем вторым домом-игровой, размером с трехкомнатную квартиру. Это идеальное место, если у вас есть дети. На первом этаже расположены две спальни, зал, кухня-столовая, ванная комната с джакузи, прихожая, просторный холл и две кладовые. Каждая комната имеет собственный выход во двор, к беседке, зоне-барбекю, горке, мини-баскетболу собственной, детской площадке и к игровой комнате для детей. Во дворе есть как открытые участки, где летом ставится бассейн и батут для детей, так и навес. Над открытыми участками, где играют ваши дети повешена сетка, защищающая от солнца. В клумбах посажены редкие виды пальм, можжевельник, настоящая ель. Постелен высококачественный газон и плитка для улицы. Через двор из квартиры можно пойти в детскую игровую комнату в эко-стиле. В игровой постелены натуральные деревянные полы из бруса, стены обшиты деревянными панелями, вся мебель также выполнена из дерева, имеется собственная круглая ванная 150 см в диаметре, установлены детский и взрослый унитазы, которые привозились под заказ из Италии. По индивидуальному заказу сделана специальная раздвижная система остекления, которая позволяет летом обеспечивать детей свежим крымским воздухом с запахом моря, ели и лечебного можжевельника. Кроме того, в игровой, как и во всем доме сделан качественный дизайнерский ремонт. Стена расписана знаменитым крымским художником, которая преподают живопись в Ялте. Есть собственный спортивный уголок с тренажерами. На улице под навесом собственный аэрохоккей. Док окружен кованным забором, на входе стоит видеонаблюдение. Ремонт в доме выполнен в классическом стиле. На стенах венецианская штукатурка, в детских комнатах итальянские обои, есть панно и плитка. Все выполнено высококлассными качественными, дорогостоящими материалами. Вся мебель выполнена под заказ из натуральных эко-материалов, на полу постелен паркет светлых оттенков, мозаика, плитка. Шторы также шились под заказ, индивидуально к каждой комнате. Квартира обустроена всей возможной техникой: телевизоры, посудомойка, машинка стиральная. Вся кухонная техника встроенная, также покупалась под заказ в стиль к кухне. Второй холодильник и морозильная камера установлена в зоне барбекю. Также в квартире имеется две кладовки для зимней обуви и для закатки и прочего. На второй этаж ведет лестница, перилла также ручной работы, выполнены под заказ с напылением. На втором этаже гардероб вторая ванная, где в душевой кабине встроено джакузи и радиосистема. Еще на втором этаже дома спальня, гардероб и кабинет, с выходом на балкон. С балкона открывается вид на Набережную, от которой в 800 метрах расположен дом. Дом находится на территории закрытого охраняемого комплекса. Рядом с ним канатная дорога, спорт-комплекс, парк холма славы, ресторан, частный садик и школа в 500 метрах, супермаркет ПУД в 300 метрах. Цена за квадратный метр самая выгодная в районе!!! Звони!
4-комн. кв., 200 м, 9/9 этаж;https://krym.cian.ru/sale/flat/172778296/;19 020 024 ;Республика КрымЯлтаулица Сеченова27;"Предлагается к продаже двухуровневая квартира в одном из самых удобных районов Ялты с дизайнерским ремонтом общей площадью 200 м2. Квартира расположена на 9-м этаже 9ти этажного здания (+мансарда). На первом этаже находится большая спальня, оборудованная кухня - столовая (техника Bosch, Miele), кабинет, 1 гостевой санузел, совмещенная уборная с технической зоной, этажом выше расположена еще одна спальня, просторная мансарда с роскошным видом на море и весь город, зоной отдыха: возможность поиграть в компании с друзьями в бильярд, в зимнее время насладиться душевными посиделками у настоящего камина на дровах, есть собственная сауна, совмещенный санузел, техническая зона. В каждой комнате установлен кондиционер (Dakin), автономное отопление, двухконтурный котел.
 - высота потолков (чистая, после ремонта ) на 1-м этаже 2,67 м и на 2-м - 2,70 м.;- отдельный ввод электричества 380 в ; - аккумулирующие баки для воды емкостью 1,25 м3 с циркулирующим насосом, автоматическое переключение на резервное автономное водообеспечение при отсутствии централизованной подачи воды (хватает на 2 суток );- автономное теплообеспечение и горячее водоснабжение собственным двухконтурным пристенным газовым котлом ""Vaillant"";- тёплый пол ( от котла ) в с/у 1-го этажа . 
 Рядом с домом удобная транспортная развязка, недалеко Ливадийский парк (в 15 мин ходьбы), супермаркет, магазины, школа, детская площадка в шаговой доступности.Комфортная квартира подходит как для отдыха, так и для постоянного проживания."
1-комн. апарт., 38,1 м, 5/10 этаж;https://krym.cian.ru/sale/flat/239743201/;17 351 905 ;Республика КрымЯлтапроезд Парковый8Д;Продаются 1-комнатные апартаменты, в сданном доме (Корпус 1), общей площадью 38.10 кв.м., на 5 этаже.
5-комн. кв., 240,7 м, 8/8 этаж;https://krym.cian.ru/sale/flat/237600736/;33 698 000 ;Республика КрымЯлтаулица Войкова20;Продается 5-комнатная квартира, в сданном доме (Корпус 1), общей площадью 240.70 кв.м., на 8 этаже.
2-комн. кв., 107,7 м, 2/10 этаж;https://krym.cian.ru/sale/flat/247159516/;23 000 000 ;Республика КрымЯлтапроезд Парковый2;"Уютная Квартира для семьи! 
Квартира находится в Приморском парке в жилом комплексе ""Омега""! 
Жилой комплекс ""Омега"" отличается своими уникальным расположением: с одной стороны, Вы находитесь в центре Ялты, с другой  в тихом, уютном и зеленом парке, окружающим Ваш дом спокойствием и комфортом. Величественная природа, талантливые архитекторы и строители создали для Вас идеальный дом для жизни и отдыха у моря:
- 5 минут ходьбы по тенистым аллеям Приморского парка к морю 
- 7 минут до знаменитой Ялтинской Набережной 
- 100 м до лучшего в Крыму SPA-центра Приморский парк 
- 7 минут ходьбы до развлекательного комплекса гостиницы Ореанда 
Общая площадь 107,7 кв.м. грамотно включает в себя - просторную гостевую зону, зонированую кухню, спальню, гостевую комнату отдыха и просторный санузел. Ремонт в квартире выполнен в светлых тонах. Квартира полностью укомплектована мебелью и техникой.
В квартире установлены теплые полы, инверторная система кондиционирования.
В отделкe иcпользовaлись качеcтвeнныe материалы - подоконник и полы из мрамора, в спальне дубовый паркет, стеклопакеты из дерева, межкомнатные и входные двери массив ясеня. Мебель производства Италии, марки NIЕRI, Сhritорhеr Guy. 
Эта квартира просто создана для комфортного проживания."
2-комн. кв., 90 м, 11/20 этаж;https://krym.cian.ru/sale/flat/245064995/;19 800 000 ;Республика КрымЯлтапроезд Парковый6Б;"Продается 2-комнатная квартира, в сданном доме (Корпус 1), общей площадью 90.00 кв.м., на 11 этаже. ""Приморский - парк хаус"" представляет собой 20-ти этажный жилой дом на 257 квартир, двух-уровневый паркинг на 47 машиномест, fitness и relax-зоны, панорамный ресторан, детская площадка. Квартиры в ""Приморский - парк хаус"" отвечают требованиям самого взыскательного покупателя: площади варьируются от 42 до 99 кв.м, с возможностью объединения, панорамными видами на Черное море и Ялту или на парковую зону. Также здесь представлены двухуровневые уникальные для побережья пентхаусы."
Апартамент 129м2 в элитном доме;https://krym.cian.ru/sale/flat/246041247/;27 799 500 ;Республика КрымЯлтаПриморский парк имени Гагарина кв-л9;"Предлагаются к продаже 3-х комнатные апартаменты в современном новом Жилом Комплексе,
расположенном в Ялте в Приморском парке в 150 метрах от моря.
Апартаменты общей площадью 129,3 кв.м. находятся на 4 этаже комплекса. 
Апартамент оснащён центральной системой вентиляции и отопления, а также пожарной сигнализацией. Высота потолков  3,1 м.
Апартаменты под отделку, с предлагаемой готовой планировкой.  
Из апартаментов открывается прямой вид на Ливадию, море и горы.
Жилой комплекс обладает собственной развитой инфраструктурой: детская площадка и детский клуб, тренажерный зал, ресторан, лобби-бар, центр красоты, теннисные корты, подземный паркинг. Территория комплекса оснащена современной, круглосуточной системой безопасности."
Видовая 3к квартира на набережной;https://krym.cian.ru/sale/flat/247087302/;18 272 150 ;Республика КрымЯлтаулица Карла Маркса;"Продаётся квартира общей площадью 107,7 кв.м. На 10 этаже 14-ти этажного современного жилого комплекса. 
Квартира со свободной планировкой, под отделку с высотой потолков 3,3м.
Отопление от центральной газовой котельной, установлены радиаторы, в квартире сухо и тепло. 
Жилой комплекс соответствует премиальному уровню комфорта и безопасности: консьерж, видеонаблюдение, круглосуточная охрана.
Дом монолитно-каркасный, построен с использованием качественных материалов и сдан в эксплуатацию в 2013 году.
В комплексе панорамное остекление и шумоизоляция фасада, четыре бесшумных лифта OTIS, система вентиляции, детская площадка.
Жилой комплекс расположен в центре города со своим выходом в зелёный сквер Н.А. Некрасова. В 150 метрах находится Ялтинская набережная и вся инфраструктура города."
4-комн. апарт., 137,16 м, 9/10 этаж;https://krym.cian.ru/sale/flat/244153266/;29 000 000 ;Республика КрымЯлтаулица Дражинского48В;Продаются 4-комнатные апартаменты, в сданном доме (Дом 48В), общей площадью 137.16 кв.м., на 9 этаже.
2-х комнатный апартамент в Парке;https://krym.cian.ru/sale/flat/245999974/;24 068 100 ;Республика КрымЯлтаПриморский парк имени Гагарина кв-л9;"Продаются апартаменты в современном жилом комплексе, расположенном в Ялте, в Приморском парке, всего в 150 метрах от моря.
Апартаменты общей площадью: 102,2 кв.м., находятся на 10 этаже комплекса. 
Апартамент оснащён центральной системой вентиляции и отопления, а также пожарной сигнализацией. Высота потолков  3,1 м.
Апартаменты свободной планировки позволяющей реализовать любое дизайнерское решение.
Из апартаментов открывается прямой вид на Ялтинскую Бухту, море и горы.
Жилой комплекс обладает собственной развитой инфраструктурой: детская площадка и детский клуб, тренажерный зал, ресторан, лобби-бар, центр красоты, теннисные корты, подземный паркинг. Территория комплекса оснащена современной системой безопасности."
